Date,Daily Confirmed,Daily Recovered,
23/01/2020,1082,58,
24/01/2020,-166,-22,
25/01/2020,483,3,
26/01/2020,663,10,
27/01/2020,801,9,
28/01/2020,2631,43,
29/01/2020,576,19,
30/01/2020,2054,15,
31/01/2020,1659,79,
01/02/2020,2088,61,
02/02/2020,4736,188,
03/02/2020,3086,151,
04/02/2020,3987,229,
05/02/2020,3729,272,
06/02/2020,3144,361,
07/02/2020,3522,522,
08/02/2020,2703,597,
09/02/2020,3012,623,
10/02/2020,2516,699,
11/02/2020,2021,718,
12/02/2020,372,444,
13/02/2020,15133,1134,
14/02/2020,6460,1760,
15/02/2020,2055,1321,
16/02/2020,2099,1454,
17/02/2020,1918,1707,
18/02/2020,1775,1744,
19/02/2020,407,1753,
20/02/2020,453,2050,
21/02/2020,473,691,
22/02/2020,1450,3994,
23/02/2020,16,483,
24/02/2020,214,1820,
25/02/2020,508,2660,
26/02/2020,405,2403,
27/02/2020,433,2845,
28/02/2020,326,3393,
29/02/2020,427,2988,
01/03/2020,575,2839,
