,Country/Region,Last Update,Confirmed,Deaths,Recovered,Date
0,Mainland China,2020-03-01T10:13:19,66907.0,2761.0,31536.0,01-03-2020
3,Mainland China,2020-03-01T14:13:18,1349.0,7.0,1016.0,01-03-2020
4,Mainland China,2020-03-01T14:13:18,1272.0,22.0,1198.0,01-03-2020
5,Mainland China,2020-03-01T10:13:33,1205.0,1.0,1046.0,01-03-2020
6,Mainland China,2020-03-01T10:03:03,1018.0,4.0,866.0,01-03-2020
7,Mainland China,2020-03-01T10:03:03,990.0,6.0,873.0,01-03-2020
9,Mainland China,2020-03-01T01:13:10,935.0,1.0,831.0,01-03-2020
10,Mainland China,2020-03-01T11:33:03,758.0,6.0,443.0,01-03-2020
12,Mainland China,2020-03-01T10:03:03,631.0,0.0,536.0,01-03-2020
13,Mainland China,2020-03-01T23:13:08,576.0,6.0,450.0,01-03-2020
14,Mainland China,2020-03-01T11:43:02,538.0,3.0,365.0,01-03-2020
15,Mainland China,2020-03-01T11:33:03,480.0,13.0,342.0,01-03-2020
16,Mainland China,2020-03-01T02:53:03,413.0,8.0,276.0,01-03-2020
17,Mainland China,2020-03-01T07:13:07,337.0,3.0,290.0,01-03-2020
18,Mainland China,2020-03-01T14:13:18,318.0,6.0,294.0,01-03-2020
19,Mainland China,2020-03-01T09:43:03,296.0,1.0,247.0,01-03-2020
21,Mainland China,2020-03-01T09:43:03,252.0,2.0,181.0,01-03-2020
22,Mainland China,2020-03-01T09:43:03,245.0,1.0,208.0,01-03-2020
23,Mainland China,2020-03-01T07:13:07,174.0,2.0,163.0,01-03-2020
24,Mainland China,2020-03-01T10:13:38,168.0,5.0,149.0,01-03-2020
25,Mainland China,2020-02-27T00:43:02,146.0,2.0,112.0,01-03-2020
26,Mainland China,2020-03-01T12:43:02,136.0,3.0,111.0,01-03-2020
27,Mainland China,2020-03-01T23:13:08,133.0,0.0,116.0,01-03-2020
30,Mainland China,2020-03-01T12:23:06,122.0,1.0,103.0,01-03-2020
33,Mainland China,2020-03-01T09:43:03,93.0,1.0,78.0,01-03-2020
34,Mainland China,2020-03-01T14:33:17,91.0,2.0,84.0,01-03-2020
36,Mainland China,2020-03-01T10:03:03,76.0,3.0,64.0,01-03-2020
37,Mainland China,2020-03-01T10:03:03,75.0,0.0,52.0,01-03-2020
38,Mainland China,2020-02-29T05:53:02,73.0,0.0,69.0,01-03-2020
49,Mainland China,2020-02-21T04:43:02,18.0,0.0,18.0,01-03-2020
103,Mainland China,2020-02-12T06:43:02,1.0,0.0,1.0,01-03-2020
0,Mainland China,2020-02-29T12:13:10,66337.0,2727.0,28993.0,29-02-2020
2,Mainland China,2020-02-29T15:33:03,1349.0,7.0,983.0,29-02-2020
3,Mainland China,2020-02-29T12:43:05,1272.0,21.0,1170.0,29-02-2020
4,Mainland China,2020-02-29T09:13:10,1205.0,1.0,1016.0,29-02-2020
6,Mainland China,2020-02-29T15:33:03,1018.0,4.0,846.0,29-02-2020
7,Mainland China,2020-02-29T05:03:13,990.0,6.0,868.0,29-02-2020
8,Mainland China,2020-02-29T01:23:07,935.0,1.0,811.0,29-02-2020
9,Mainland China,2020-02-29T15:33:03,756.0,6.0,421.0,29-02-2020
11,Mainland China,2020-02-29T07:23:11,631.0,0.0,523.0,29-02-2020
13,Mainland China,2020-02-29T23:13:06,576.0,6.0,438.0,29-02-2020
14,Mainland China,2020-02-29T12:03:07,538.0,3.0,351.0,29-02-2020
15,Mainland China,2020-02-29T12:03:07,480.0,13.0,301.0,29-02-2020
16,Mainland China,2020-02-29T03:33:02,411.0,8.0,271.0,29-02-2020
17,Mainland China,2020-02-29T06:23:03,337.0,3.0,287.0,29-02-2020
18,Mainland China,2020-02-29T15:33:03,318.0,6.0,282.0,29-02-2020
19,Mainland China,2020-02-29T15:33:03,296.0,1.0,243.0,29-02-2020
20,Mainland China,2020-02-29T12:03:07,252.0,2.0,176.0,29-02-2020
21,Mainland China,2020-02-29T09:03:06,245.0,1.0,207.0,29-02-2020
23,Mainland China,2020-02-29T05:03:13,174.0,2.0,157.0,29-02-2020
24,Mainland China,2020-02-29T23:43:02,168.0,5.0,148.0,29-02-2020
25,Mainland China,2020-02-27T00:43:02,146.0,2.0,112.0,29-02-2020
26,Mainland China,2020-02-29T12:03:07,136.0,3.0,109.0,29-02-2020
27,Mainland China,2020-02-29T23:13:06,133.0,0.0,114.0,29-02-2020
28,Mainland China,2020-02-29T15:33:03,121.0,1.0,96.0,29-02-2020
32,Mainland China,2020-02-29T09:13:10,93.0,1.0,75.0,29-02-2020
33,Mainland China,2020-02-28T02:33:02,91.0,2.0,82.0,29-02-2020
35,Mainland China,2020-02-29T12:03:07,76.0,3.0,62.0,29-02-2020
36,Mainland China,2020-02-29T09:03:06,75.0,0.0,49.0,29-02-2020
