,Country_Region,Confirmed,Deaths,Recovered,Date
3987,United Kingdom,3904,12,,31/01/2023
3988,United Kingdom,18766,157,,31/01/2023
3989,United Kingdom,7305,64,,31/01/2023
3990,United Kingdom,31472,37,,31/01/2023
3991,United Kingdom,0,0,,31/01/2023
3992,United Kingdom,20517193,185587,,31/01/2023
3993,United Kingdom,1930,0,,31/01/2023
3994,United Kingdom,20399,111,,31/01/2023
3995,United Kingdom,34715,66,,31/01/2023
3996,United Kingdom,38008,116,,31/01/2023
3997,United Kingdom,66347,157,,31/01/2023
3998,United Kingdom,1403,8,,31/01/2023
3999,United Kingdom,713294,5144,,31/01/2023
4000,United Kingdom,4,0,,31/01/2023
4001,United Kingdom,2166,0,,31/01/2023
4002,United Kingdom,2148273,16751,,31/01/2023
4003,United Kingdom,6522,38,,31/01/2023
4004,United Kingdom,0,336,,31/01/2023
4005,United Kingdom,895597,11480,,31/01/2023
3981,United Kingdom,2324,8,,31/01/2022
3982,United Kingdom,10793,117,,31/01/2022
3983,United Kingdom,5875,49,,31/01/2022
3984,United Kingdom,13788,15,,31/01/2022
3985,United Kingdom,0,0,,31/01/2022
3986,United Kingdom,14845382,156885,,31/01/2022
3987,United Kingdom,89,0,,31/01/2022
3988,United Kingdom,12950,101,,31/01/2022
3989,United Kingdom,21567,71,,31/01/2022
3990,United Kingdom,163,1,,31/01/2022
3991,United Kingdom,542855,4214,,31/01/2022
3992,United Kingdom,4,0,,31/01/2022
3993,United Kingdom,1148772,13103,,31/01/2022
3994,United Kingdom,5727,34,,31/01/2022
3995,United Kingdom,0,269,,31/01/2022
3996,United Kingdom,778884,9637,,31/01/2022
4008,United Kingdom,30490,100,0,31/01/2022
4009,United Kingdom,11193,30,0,31/01/2022
4015,United Kingdom,0,0,0,31/01/2022
3954,United Kingdom,16,0,15,31/01/2021
3955,United Kingdom,691,12,653,31/01/2021
3956,United Kingdom,114,1,95,31/01/2021
3957,United Kingdom,390,2,357,31/01/2021
3958,United Kingdom,0,0,3271,31/01/2021
3959,United Kingdom,3341249,113265,0,31/01/2021
3960,United Kingdom,41,0,34,31/01/2021
3961,United Kingdom,4114,77,3705,31/01/2021
3962,United Kingdom,434,25,383,31/01/2021
3963,United Kingdom,13,1,12,31/01/2021
3964,United Kingdom,103960,2558,0,31/01/2021
3965,United Kingdom,4,0,4,31/01/2021
3966,United Kingdom,179685,8627,0,31/01/2021
3967,United Kingdom,1503,9,1127,31/01/2021
3968,United Kingdom,0,143,0,31/01/2021
3969,United Kingdom,192282,6989,0,31/01/2021
4006,United Kingdom,3142,66,0,31/01/2021
4007,United Kingdom,493,16,0,31/01/2021
4013,United Kingdom,0,0,0,31/01/2021
3987,United Kingdom,3904,12,,30/01/2023
3988,United Kingdom,18766,157,,30/01/2023
3989,United Kingdom,7305,64,,30/01/2023
3990,United Kingdom,31472,37,,30/01/2023
3991,United Kingdom,0,0,,30/01/2023
3992,United Kingdom,20517193,185535,,30/01/2023
3993,United Kingdom,1930,0,,30/01/2023
3994,United Kingdom,20399,111,,30/01/2023
3995,United Kingdom,34715,66,,30/01/2023
3996,United Kingdom,38008,116,,30/01/2023
3997,United Kingdom,66347,157,,30/01/2023
3998,United Kingdom,1403,8,,30/01/2023
3999,United Kingdom,713294,5143,,30/01/2023
4000,United Kingdom,4,0,,30/01/2023
4001,United Kingdom,2166,0,,30/01/2023
4002,United Kingdom,2148273,16747,,30/01/2023
4003,United Kingdom,6522,38,,30/01/2023
4004,United Kingdom,0,336,,30/01/2023
4005,United Kingdom,895597,11479,,30/01/2023
3981,United Kingdom,2324,8,,30/01/2022
3982,United Kingdom,10552,116,,30/01/2022
3983,United Kingdom,5839,49,,30/01/2022
3984,United Kingdom,13788,15,,30/01/2022
3985,United Kingdom,0,0,,30/01/2022
3986,United Kingdom,14023177,156708,,30/01/2022
3987,United Kingdom,89,0,,30/01/2022
3988,United Kingdom,12848,100,,30/01/2022
3989,United Kingdom,21460,71,,30/01/2022
3990,United Kingdom,163,1,,30/01/2022
3991,United Kingdom,531050,4212,,30/01/2022
3992,United Kingdom,4,0,,30/01/2022
3993,United Kingdom,1139939,13089,,30/01/2022
3994,United Kingdom,5727,34,,30/01/2022
3995,United Kingdom,0,268,,30/01/2022
3996,United Kingdom,774356,9624,,30/01/2022
4008,United Kingdom,30235,100,0,30/01/2022
4009,United Kingdom,11136,30,0,30/01/2022
4015,United Kingdom,0,0,0,30/01/2022
3954,United Kingdom,16,0,15,30/01/2021
3955,United Kingdom,691,12,653,30/01/2021
3956,United Kingdom,114,1,95,30/01/2021
3957,United Kingdom,390,2,357,30/01/2021
3958,United Kingdom,0,0,3271,30/01/2021
3959,United Kingdom,3322195,112366,0,30/01/2021
3960,United Kingdom,41,0,34,30/01/2021
3961,United Kingdom,4108,75,3666,30/01/2021
3962,United Kingdom,434,25,383,30/01/2021
3963,United Kingdom,13,1,12,30/01/2021
3964,United Kingdom,103534,2541,0,30/01/2021
3965,United Kingdom,4,0,4,30/01/2021
3966,United Kingdom,178682,8576,0,30/01/2021
3967,United Kingdom,1459,8,1094,30/01/2021
3968,United Kingdom,0,142,0,30/01/2021
3969,United Kingdom,191677,6962,0,30/01/2021
4006,United Kingdom,3140,65,0,30/01/2021
4007,United Kingdom,449,16,0,30/01/2021
4013,United Kingdom,0,0,0,30/01/2021
3987,United Kingdom,3904,12,,29/01/2023
3988,United Kingdom,18766,157,,29/01/2023
3989,United Kingdom,7305,64,,29/01/2023
3990,United Kingdom,31472,37,,29/01/2023
3991,United Kingdom,0,0,,29/01/2023
3992,United Kingdom,20517193,185482,,29/01/2023
3993,United Kingdom,1930,0,,29/01/2023
3994,United Kingdom,20399,111,,29/01/2023
3995,United Kingdom,34715,66,,29/01/2023
3996,United Kingdom,38008,116,,29/01/2023
3997,United Kingdom,66347,157,,29/01/2023
3998,United Kingdom,1403,8,,29/01/2023
3999,United Kingdom,713294,5143,,29/01/2023
4000,United Kingdom,4,0,,29/01/2023
4001,United Kingdom,2166,0,,29/01/2023
4002,United Kingdom,2148273,16744,,29/01/2023
4003,United Kingdom,6522,38,,29/01/2023
4004,United Kingdom,0,336,,29/01/2023
4005,United Kingdom,895597,11477,,29/01/2023
3981,United Kingdom,2324,8,,29/01/2022
3982,United Kingdom,10552,116,,29/01/2022
3983,United Kingdom,5839,49,,29/01/2022
3984,United Kingdom,13788,15,,29/01/2022
3985,United Kingdom,0,0,,29/01/2022
3986,United Kingdom,13963618,156539,,29/01/2022
3987,United Kingdom,89,0,,29/01/2022
3988,United Kingdom,12752,100,,29/01/2022
3989,United Kingdom,21460,71,,29/01/2022
3990,United Kingdom,163,1,,29/01/2022
3991,United Kingdom,531050,4210,,29/01/2022
3992,United Kingdom,4,0,,29/01/2022
3993,United Kingdom,1139939,13076,,29/01/2022
3994,United Kingdom,5727,34,,29/01/2022
3995,United Kingdom,0,267,,29/01/2022
3996,United Kingdom,771516,9618,,29/01/2022
4008,United Kingdom,29887,99,0,29/01/2022
4009,United Kingdom,11063,30,0,29/01/2022
4015,United Kingdom,0,0,0,29/01/2022
3954,United Kingdom,16,0,15,29/01/2021
3955,United Kingdom,690,12,650,29/01/2021
3956,United Kingdom,114,1,95,29/01/2021
3957,United Kingdom,387,2,357,29/01/2021
3958,United Kingdom,0,0,3227,29/01/2021
3959,United Kingdom,3301106,111442,0,29/01/2021
3960,United Kingdom,41,0,34,29/01/2021
3961,United Kingdom,4096,73,3583,29/01/2021
3962,United Kingdom,434,25,380,29/01/2021
3963,United Kingdom,13,1,12,29/01/2021
3964,United Kingdom,103079,2528,0,29/01/2021
3965,United Kingdom,4,0,4,29/01/2021
3966,United Kingdom,177688,8526,0,29/01/2021
3967,United Kingdom,1435,8,1051,29/01/2021
3968,United Kingdom,0,141,0,29/01/2021
3969,United Kingdom,190940,6924,0,29/01/2021
4006,United Kingdom,3135,64,0,29/01/2021
4007,United Kingdom,414,16,0,29/01/2021
4013,United Kingdom,0,0,0,29/01/2021
3987,United Kingdom,3904,12,,28/01/2023
3988,United Kingdom,18766,157,,28/01/2023
3989,United Kingdom,7305,64,,28/01/2023
3990,United Kingdom,31472,37,,28/01/2023
3991,United Kingdom,0,0,,28/01/2023
3992,United Kingdom,20517193,185420,,28/01/2023
3993,United Kingdom,1930,0,,28/01/2023
3994,United Kingdom,20399,111,,28/01/2023
3995,United Kingdom,34715,66,,28/01/2023
3996,United Kingdom,38008,116,,28/01/2023
3997,United Kingdom,66347,157,,28/01/2023
3998,United Kingdom,1403,8,,28/01/2023
3999,United Kingdom,713294,5141,,28/01/2023
4000,United Kingdom,4,0,,28/01/2023
4001,United Kingdom,2166,0,,28/01/2023
4002,United Kingdom,2148273,16739,,28/01/2023
4003,United Kingdom,6522,38,,28/01/2023
4004,United Kingdom,0,336,,28/01/2023
