Date,Confirmed,Recovered,Deaths
23/01/2020,1082,58,34
24/01/2020,916,36,26
25/01/2020,1399,39,42
26/01/2020,2062,49,56
27/01/2020,2863,58,82
28/01/2020,5494,101,131
29/01/2020,6070,120,133
30/01/2020,8124,135,171
31/01/2020,9783,214,213
01/02/2020,11871,275,259
02/02/2020,16607,463,361
03/02/2020,19693,614,425
04/02/2020,23680,843,490
05/02/2020,27409,1115,562
06/02/2020,30553,1476,632
07/02/2020,34075,1998,717
08/02/2020,36778,2595,804
09/02/2020,39790,3218,904
10/02/2020,42306,3917,1011
11/02/2020,44327,4635,1111
12/02/2020,44699,5079,1116
13/02/2020,59832,6213,1368
14/02/2020,66292,7973,1520
15/02/2020,68347,9294,1662
16/02/2020,70446,10748,1765
17/02/2020,72364,12455,1863
18/02/2020,74139,14199,2002
19/02/2020,74546,15952,2114
20/02/2020,74999,18002,2236
21/02/2020,75472,18693,2236
22/02/2020,76922,22687,2441
23/02/2020,76938,23170,2443
24/02/2020,77152,24990,2593
25/02/2020,77660,27650,2663
26/02/2020,78065,30053,2715
27/02/2020,78498,32898,2744
28/02/2020,78824,36291,2788
29/02/2020,79251,39279,2835
01/03/2020,79826,42118,2870
